ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P203,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC,OMICAP200_05
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10010,01,01,1,3,250393002,1.305981,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,2,1,60,500, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,33,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,2,120,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,1,140,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,3,117,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,3,350,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,2,500,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,1,550,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,190,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,160,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,50,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,30,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,2,90,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,3,70,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,1,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,1,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,2,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10015,01,01,1,3,250393005,58.22547,1,,1,1,1,2,PASTO BRIZANTA,1408,3,2,3,3,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,01,01,1,3,250391005,46.84928,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,1,90,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,01,01,1,3,250391005,46.84928,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,3,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,01,01,1,3,250391005,46.84928,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,2,70,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,98,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,75,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10016,04,04,1,3,250391005,3.746287,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,25,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,08,08,1,3,250392005,.5630587,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,3,33,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,08,08,1,3,250392005,.5630587,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,1,35,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10018,08,08,1,3,250392005,.5630587,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,2,34,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10022,02,02,1,3,250391005,3.166922,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,500,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10022,02,02,1,3,250391005,3.166922,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,600,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10022,02,02,1,3,250391005,3.166922,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,500,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,2,20,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,1,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,3,20,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,3,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,1,70,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,2,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,3,20,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,2,60,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,1,1,PASTO BRIZANTA,1408,3,2,3,1,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,2,2,PASTO BRAQUIARIA,1407,3,2,3,3,10,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,2,2,PASTO BRAQUIARIA,1407,3,2,3,2,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,2,2,PASTO BRAQUIARIA,1407,3,2,3,1,90,000, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10027,01,01,1,3,250391005,16.20606,1,,1,1,1,3,PASTO BRIZANTA,1408,3,2,3,3,250,000, 
