ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P102C_N,P102C_DEP_COD,P102C_DEP,P102C_CANT
2024,96412,1,01,1,1,1,2,8,4,04,AREQUIPA,1
2024,96412,1,01,1,1,1,2,8,7,09,HUANCAVELICA,1
2024,96412,1,01,1,1,1,2,8,11,13,LA LIBERTAD,2
2024,96412,1,01,1,1,1,2,8,3,03,APURIMAC,1
2024,96412,1,01,1,1,1,2,8,14,16,LORETO,2
2024,96428,1,01,1,1,1,2,7,1,14,LAMBAYEQUE,2
2024,96433,1,01,1,1,1,2,7,1,11,ICA,1
2024,96439,1,01,1,1,1,2,7,1,15,LIMA,1
2024,96448,1,01,2,1,1,2,2,1,15,LIMA,3
2024,96459,1,01,1,1,1,2,2,1,15,LIMA,2
2024,96470,1,01,1,1,1,2,7,1,13,LA LIBERTAD,8
2024,96470,1,01,1,1,1,2,7,2,04,AREQUIPA,1
2024,96504,1,01,1,3,1,2,2,1,25,UCAYALI,1
2024,96545,1,01,1,3,1,2,1,1,06,CAJAMARCA,1
2024,96562,1,01,1,3,1,2,2,1,25,UCAYALI,1
2024,97002,1,01,1,1,1,2,2,1,13,LA LIBERTAD,2
2024,97006,1,01,1,1,1,2,2,1,20,PIURA,1
2024,97026,1,01,1,1,1,2,2,1,11,ICA,2
2024,97029,1,01,1,1,1,2,2,1,02,ANCASH,1
2024,97035,1,01,1,1,1,2,2,1,14,LAMBAYEQUE,1
2024,97043,1,01,1,1,1,2,7,1,13,LA LIBERTAD,1
2024,97053,1,01,1,1,1,2,2,1,11,ICA,1
2024,97062,1,01,1,1,1,2,2,1,13,LA LIBERTAD,1
