ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1207_N,P1207_NOM,P1207_COD,P1207_TIPO,P1208,OMICAP1200B_ME
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,02,02,1,3,250391005,2.638437,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,03,03,1,3,250391005,17.93131,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,03,03,1,3,250391005,17.93131,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,04,04,1,3,250391005,.8302824,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,05,05,1,3,250391005,13.2792,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,05,05,1,3,250391005,13.2792,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,06,06,1,3,250391005,.0369248,1,,1,0,0,2,MOTOSIERRA,2059,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,06,06,1,3,250391005,.0369248,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,06,06,1,3,250391005,.0369248,1,,1,0,0,3,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,07,07,1,3,250391005,1.688997,1,,1,1,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,07,07,1,3,250391005,1.688997,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,08,08,1,3,250391005,.7154477,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,10,10,1,3,250391005,8.486829,1,,1,0,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,10,10,1,3,250391005,8.486829,1,,1,0,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,12,12,1,3,250391005,.6594181,1,,1,0,0,2,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10020,12,12,1,3,250391005,.6594181,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10021,03,03,1,3,250391005,9.579359,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10021,04,04,1,3,250391005,9.823375,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10021,05,05,1,3,250391005,13.65014,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10021,07,07,1,3,250391005,18.66356,1,,1,1,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10021,10,10,1,3,250391005,24.84721,1,,1,0,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10022,05,05,1,3,250391005,.0690132,1,,1,0,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10023,03,03,1,3,250391005,20.01668,1,,1,0,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10023,03,03,1,3,250391005,20.01668,1,,1,0,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10023,09,09,1,3,250391005,2.643983,1,,1,0,0,1,CULTIVADORA,2029,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,01,01,1,3,250391005,15.89948,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10024,02,02,1,3,250391005,13.13985,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10025,03,03,1,3,250391005,10.2469,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10025,09,09,1,3,250391005,22.1298,1,,1,0,0,1,COSECHADORA,1016,1,3,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,02,02,1,3,250391005,19.50478,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,06,06,1,3,250391005,1.875354,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,07,07,1,3,250391005,5.907587,1,,1,0,0,1,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10026,08,08,1,3,250391005,11.73347,1,,1,1,0,1,MOTOGUADAÑA,2057,2,1,
