ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P147,P147_SUP_1,P147_SUP_2,P147_EQUIV_1,P147_EQUIV_2,P147_SUP_ha,P107,P148_DIA,P148_MES,P148_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P202,P224A,P224G_1,P224G_2,P224G_3,P224G_4,P224G_5,P224G_6,P224G_8,P224G_9,P224G_7,OMICAP100B_02
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,02,02,1,3,250391005,18.783,1,,0,0,1,1,1,10,000,10,0000,10,FUNDO DIAZ,,,,1,0,0,0,0,3,, ,2,2,0,0,1,0,0,0,0,0,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,03,03,1,3,250391005,10.56679,1,,1,1,0,1,1,44,500,44,5000,44.5,FUNDO NUEVA ESPERANZA,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,1,0,1,1,24,000,24,0000,24,FUNDO LLUSA,,,,1,0,0,0,0,1,24,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,05,05,1,3,250391005,4.214172,1,,1,1,0,1,1,150,000,150,0000,150,FUNDO ELENITA,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,0,1,1,18,000,18,0000,18,FUNDO ORIHUELA,,,,1,0,0,0,0,1,18,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,1,0,2,2,12,000,12,0000,12,FUNDO ORIHUELA 2,,,,1,0,0,0,0,1,12,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,02,02,1,3,250391004,9.755317,1,,1,0,0,1,1,7,500,7,5000,7.5,FUNDO RUFINA,,,,0,0,1,0,0,,, ,2,2,0,0,0,0,0,0,0,1,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,02,02,1,3,250391004,9.755317,1,,1,0,0,2,2,3,000,3,0000,3,FUNDO DAVID,,,,0,0,1,0,0,,, ,2,2,0,0,0,0,0,0,0,1,0,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,03,03,1,3,250391004,5.964668,1,,1,1,0,1,1,3,000,3,0000,3,FUNDO RAUL,,,,1,0,0,0,0,1,3,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,03,03,1,3,250391004,5.964668,1,,1,1,0,2,2,4,000,4,0000,4,FUNDO RAUL 2,,,,1,0,0,0,0,1,4,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,0,1,1,13,000,13,0000,13,FUNDO ZAMBRANO,,,,1,0,0,0,0,1,13,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,0,4,4,24,000,24,0000,24,FUNDO ZAMBRANO 4,,,,1,0,0,0,0,1,24,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,0,3,3,9,000,9,0000,9,FUNDO ZAMBRANO 3,,,,1,0,0,0,0,1,9,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,1,0,2,2,2,000,2,0000,2,FUNDO ZAMBRANO 2,,,,1,0,0,0,0,1,2,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,1,0,1,1,10,000,10,0000,10,FUNDO MUÑOZ,,,,1,0,0,0,0,1,10,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,1,0,2,2,15,000,15,0000,15,FUNDO MUÑOZ 2,,,,1,0,0,0,0,1,15,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,01,01,1,3,250393005,112.0423,1,,1,0,0,1,1,50,000,50,0000,50,FUNDO EL SOLITARIO DEL CENTRO,,,,1,0,0,0,0,1,50,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,01,01,1,3,250393005,112.0423,1,,1,0,0,2,2,21,500,21,5000,21.5,FUNDO EL SOLITARIO DEL CENTRO,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,0,1,1,21,500,21,5000,21.5,FUNDO PAZ,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,1,0,2,2,42,500,42,5000,42.5,FUNDO LA PAZ,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,05,05,1,3,250393005,21.36,1,,1,1,0,1,1,54,250,54,2500,54.25,FUNDO SAVINO,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
