ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,95157,01,01,1,2,1,2,2,1,1,0,0,0,0,1,0,8,16,0,0,240,38000,2,1,1,1, 
2024,95157,01,01,1,2,1,2,2,1,1,0,0,0,1,0,0,4,3,0,0,050,1000,2,1,2,1, 
2024,95158,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,200,800,1,1,2,4, 
2024,95160,01,01,1,2,1,2,4,1,1,0,0,0,1,0,0,4,3,0,0,400,1000,2,1,1,6, 
2024,95162,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,20,10,0,300,154,2,1,2,2, 
2024,95165,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,1,0,120,90,1,2,,2, 
2024,95168,01,01,1,2,1,2,6,1,1,1,0,0,0,0,0,1,2,0,1,000,1000,2,1,2,5, 
2024,95170,01,01,1,2,1,2,2,1,1,1,0,0,0,0,0,1,2,2,1,000,20,2,1,2,2, 
2024,95171,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,5,0,0,300,50,2,2,,2, 
2024,95172,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,6,0,0,250,85,2,2,,2, 
2024,95174,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,6,2,0,0,020,50,2,1,1,2, 
2024,95174,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,3,0,0,050,50,2,1,1,2, 
2024,95174,01,01,1,2,1,2,1,1,1,0,0,0,0,1,0,4,8,0,0,050,100,2,2,,2, 
2024,95175,01,01,1,2,1,2,8,1,1,0,0,0,1,0,0,1,2,0,0,030,80,2,1,1,2, 
2024,95175,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,4,3,3,0,070,120,2,2,,1, 
2024,95176,01,01,1,2,1,2,4,1,1,1,0,0,0,0,0,1,15,0,0,150,60,2,1,1,4, 
2024,95177,01,01,1,1,1,2,2,1,1,0,1,0,0,0,0,2,1,0,0,250,60,2,1,1,4, 
2024,95178,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,100,1500,2,1,2,1, 
2024,95178,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,100,20,2,1,2,1, 
2024,95180,01,01,1,2,1,2,2,1,1,0,0,0,1,0,0,4,2,1,0,100,4000,2,1,1,1, 
2024,95181,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,100,30,2,2,,1, 
2024,95181,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,4,10,2,1,020,1000,2,2,,6, 
2024,95184,01,01,1,2,1,2,8,1,1,1,0,0,0,0,0,1,8,0,0,250,17,2,2,,2, 
2024,95185,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,100,100,2,1,1,2, 
2024,95186,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,30,0,25,000,80,2,1,1,2, 
2024,95189,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,2,0,0,080,45,2,1,1,4, 
2024,95196,01,01,1,2,1,2,4,1,1,1,0,0,0,0,0,1,3,0,0,120,57,2,2,,5, 
2024,95200,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1,0,023,9,2,1,1,4, 
2024,95200,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,10,62,0,009,700,2,2,,1, 
2024,95201,01,01,1,2,1,2,5,1,1,0,0,0,1,0,0,10,1,0,0,052,1000,2,1,1,6, 
2024,95201,01,01,1,2,1,2,5,1,1,0,0,0,0,1,0,4,1,0,0,013,800,2,2,,6, 
2024,95204,01,01,1,2,1,2,1,1,1,0,0,1,0,0,0,6,1,0,0,013,500,2,1,2,1, 
2024,95204,01,01,1,2,1,2,1,1,1,0,0,0,0,1,0,3,11,0,0,016,15,2,1,2,1, 
2024,95205,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,30,0,0,250,1600,2,2,,1, 
2024,95206,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,23,7,0,090,3000,2,2,,1, 
2024,95213,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,060,1000,2,1,1,1, 
2024,95214,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,100,50,2,1,1,1, 
2024,95215,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,1,0,100,1000,2,1,1,4, 
2024,95218,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,500,800,2,2,,1, 
2024,95220,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,3,0,0,060,600,2,1,2,1, 
2024,95221,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,1,0,016,300,2,1,1,1, 
2024,95222,01,01,1,3,1,2,5,1,1,1,0,0,0,0,0,1,4,0,0,800,83,2,2,,5, 
2024,95224,01,01,1,3,1,2,1,0,1,0,0,1,0,0,0,3,2,0,0,092,156,2,1,1,3, 
2024,95228,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,3,7,8,2,000,21,2,1,1,1, 
2024,95228,01,01,1,3,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,003,300,2,1,1,1, 
2024,95229,01,01,1,3,1,2,5,1,1,0,0,0,0,1,0,5,7,0,0,770,77000,2,1,2,1, 
2024,95231,01,01,1,3,1,2,4,0,1,0,0,1,0,0,0,3,2,0,0,022,444,2,1,1,1, 
2024,95232,01,01,1,3,1,2,2,1,1,0,1,0,0,0,0,2,1,0,1,000,1385,2,1,2,4, 
2024,95238,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,020,250,2,2,,5, 
2024,95241,01,01,1,2,1,2,4,1,1,1,0,0,0,0,0,4,10,2,0,200,2000,2,1,1,1, 
2024,95241,01,01,1,2,1,2,4,1,1,0,0,0,1,0,0,1,2,1,1,000,22,2,1,1,5, 
2024,95257,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,4,1,0,0,010,50,2,1,1,1, 
2024,95257,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,050,22,2,1,1,1, 
2024,95258,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,030,1600,2,1,1,1, 
2024,95261,01,01,1,2,1,2,1,1,1,0,0,0,0,1,0,5,6,0,0,240,5400,2,1,2,4, 
2024,95261,01,01,1,2,1,2,1,1,1,0,0,0,0,1,0,6,3,0,0,400,10800,2,1,2,4, 
2024,95262,01,01,1,3,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,010,200,1,1,1,1, 
2024,95263,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,055,25,2,1,1,4, 
2024,95264,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,4,0,0,100,40,2,1,1,4, 
