"anio","ccdd","ccpp","ccdi","psu","id_prod","ua","te"
2024,25,3,3,10035,9,9,0.597457700008061
2024,25,3,3,10035,10,10,0.550619813479293
2024,25,3,3,10036,1,1,0.748020792036589
2024,25,3,3,10036,3,3,0.596423064508654
2024,25,3,3,10037,1,1,0.400525817294382
2024,25,3,3,10037,2,2,0.686983787583406
2024,25,3,3,10037,3,3,0.590300650733933
2024,25,3,3,10037,4,4,0.64327824057736
2024,25,3,3,10038,1,1,0.587130728304302
2024,25,3,3,10038,3,3,0.697364411333706
2024,25,3,3,10038,4,4,0.244480732038169
2024,25,3,3,10038,5,5,0.157175486987523
2024,25,3,3,10039,1,1,0.614470209666323
2024,25,3,3,10039,2,2,0.452827291836488
2024,25,3,3,10039,3,3,0.756107619217314
2024,25,3,3,10039,4,4,0.549434859012628
2024,25,3,3,10039,5,5,0.579820931907046
2024,25,3,3,10039,6,6,0.330779010826906
2024,25,3,3,10039,7,7,0.469195453389107
2024,25,3,3,10039,9,9,0.359464891082705
2024,25,3,3,10039,10,10,0.510190275873062
2024,25,3,3,10039,11,11,0.315214254027324
2024,25,3,3,10039,12,12,0.30090335531641
2024,25,3,3,10040,1,1,0.659969475027678
2024,25,3,3,10040,2,2,0.682800671257075
2024,25,3,3,10041,1,1,0.694435936052967
2024,25,3,3,10041,2,2,0.698688868770846
2024,25,3,3,10041,5,5,0.555174220794331
2024,25,3,3,10042,1,1,0.690369677555699
2024,25,3,3,10042,2,2,0.701622337287785
2024,25,3,3,10042,3,3,0.241587098775718
2024,25,3,3,10042,4,4,0.705344483710388
2024,25,3,3,10042,5,5,0.579655071806999
2024,25,3,3,10042,6,6,0.61012223327276
2024,25,3,3,10043,1,1,0.743277272961525
2024,25,3,3,10043,2,2,0.569870772177037
2024,25,3,3,10043,3,3,0.522595471671137
2024,25,3,3,10044,1,1,0.494205521680075
2024,25,3,3,10044,2,2,0.5345222331243
2024,25,3,3,10044,3,3,0.454800599734135
2024,25,3,3,10044,4,4,0.522249104302527
2024,25,3,3,10044,6,6,0.349167417842087
2024,25,3,3,10044,7,7,0.533485569202773
2024,25,3,3,10044,8,8,0.529022773546794
