anio,ccdd,ccpp,ccdi,psu,id_prod,ua,region_natural,estrato,weight,departamento,provincia,distrito,latitud,longitud,hhi_area,diversificacion_area,shannon_area,num_crops_area,area_total_ha,hhi_valor,diversificacion_valor,shannon_valor,num_crops_valor,valor_total,jornaleros_perm_h,jornaleros_perm_m,jornaleros_event_h,jornaleros_event_m,gasto_agricola_total,costo_total_agropecuario,gasto_abono,gasto_fertilizantes,gasto_plaguicidas,practice_any,num_practices,labor_total,input_costs,size_cat
2024,25.0,3.0,5.0,10011,3,3,3,250391005.0,8.33548,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,0.9655278547245305,0.03447214527546949,0.08831978220001763,2.0,71.25,1.0,0.0,-0.0,1.0,6000.0,,,2.0,,780.0,31140.0,0.0,0.0,200.0,1.0,1.0,2.0,200.0,grande_>5ha
2024,25.0,3.0,5.0,10011,4,4,3,250391005.0,21.88851,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,1.0,0.0,-0.0,1.0,2.0,1.0,0.0,-0.0,1.0,4500.0,,,,,300.0,450.0,0.0,0.0,200.0,1.0,1.0,0.0,200.0,pequeno_<2ha
2024,25.0,3.0,5.0,10011,5,5,3,250391005.0,1.99235,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,1.0,0.0,-0.0,1.0,25.0,,,,,,,,,,100.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,grande_>5ha
2024,25.0,3.0,5.0,10011,6,6,3,250391005.0,5.38409,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.84061406852,-75.0260162424,1.0,0.0,-0.0,1.0,7.0,,,,,,,,,,200.0,4920.0,0.0,0.0,400.0,1.0,1.0,0.0,400.0,grande_>5ha
2024,25.0,3.0,4.0,10012,1,1,3,250392005.0,56.02063,UCAYALI,PADRE ABAD,NESHUYA,-8.71033745058,-75.1423706405,0.30246913580246915,0.6975308641975309,1.2919060073446698,3.0,9.0,0.5134871274096608,0.48651287259033915,0.8178117942095952,3.0,95800.0,,,8.0,,9570.0,10270.0,0.0,0.0,300.0,1.0,1.0,8.0,300.0,grande_>5ha
2024,25.0,3.0,4.0,10012,2,2,3,250392005.0,32.14376,UCAYALI,PADRE ABAD,NESHUYA,-8.71033745058,-75.1423706405,0.6800000000000002,0.31999999999999984,0.5004024235381879,2.0,5.0,0.9598053491205631,0.040194650879436855,0.10004955316905209,2.0,68914.0,,,8.0,,9670.0,10020.0,0.0,0.0,140.0,1.0,1.0,8.0,140.0,mediano_2_5ha
2024,25.0,3.0,4.0,10012,3,3,3,250392005.0,44.17159,UCAYALI,PADRE ABAD,NESHUYA,-8.71033745058,-75.1423706405,1.0,0.0,-0.0,1.0,5.0,1.0,0.0,-0.0,1.0,100500.0,,,12.0,5.0,10820.0,10820.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,mediano_2_5ha
2024,25.0,3.0,4.0,10013,1,1,3,250391005.0,6.453477,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,1.0,0.0,-0.0,1.0,5.0,1.0,0.0,-0.0,1.0,82500.0,,,5.0,3.0,18050.0,18050.0,0.0,4500.0,1800.0,1.0,2.0,8.0,6300.0,mediano_2_5ha
2024,25.0,3.0,4.0,10013,2,2,3,250391005.0,47.80722,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,1.0,0.0,-0.0,1.0,2.0,1.0,0.0,-0.0,1.0,22950.0,,,1.0,,4640.0,4640.0,0.0,0.0,300.0,1.0,1.0,1.0,300.0,pequeno_<2ha
2024,25.0,3.0,4.0,10013,3,3,3,250391005.0,15.42459,UCAYALI,PADRE ABAD,NESHUYA,-8.65245320196,-75.1278056408,1.0,0.0,-0.0,1.0,3.0,1.0,0.0,-0.0,1.0,38750.0,,,10.0,,9450.0,9450.0,0.0,1000.0,500.0,1.0,2.0,10.0,1500.0,mediano_2_5ha
