ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P301A_1,P302A_1,P301A_2,P302A_2,P301A_3,P302A_3,P301A_4,P302A_4,P301A_4A,P302A_4A,P301A_4B,P302A_4B,P301A_4C,P302A_4C,P301A_5,P302A_5,P301A_6,P302A_6,P301A_7,P302A_7,P301A_8,P302A_8,P301A_9,P302A_9,P301A_10,P302A_10,P301A_11,P302A_11,P301A_12,P302A_12,P301A_12A,P302A_12A,P301A_12B,P302A_12B,P301A_12C,P302A_12C,P301A_13,P302A_13,P301A_14,P302A_14,P301A_15,P302A_15,P301A_16,P302A_16,P301A_17,P302A_17,P303B,P304B,P305B,P306B,P307B,P308B,P309B,P310B,P311B,P312B,P313B,P314B,P315B,P316B,P317B,P318B,P319B,P320B,P321B,P322B,P323B,P324B,P325B_1,P325B_2,P325B_3,P325B_4,P325B_5,P325B_6,P325B_7,P326B_1,P326B_2,P326B_3,P326B_4,P326B_5,P326B_6,P326B_7,P327B,P328B,P329B_1,P329B_2,P329B_3,P329B_4,P329B_5,P329B_6,P330B,OMICAP300
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16429,02,02,1,2,060431002,691.7881,1,,1,1,0,2,,2,,1,10,2,,2,,2,,2,,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,10,1,10,1,10,2,,2,,1,1,2,2,,,2,1,2,2,,,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16429,03,03,1,2,060431002,33.39475,1,,1,1,0,2,,2,,1,30,2,,2,,2,,2,,1,30,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,30,1,30,1,10,2,,2,,2,1,2,2,,,2,2,2,2,,,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16429,04,04,1,2,060431002,802.1221,1,,1,1,0,2,,2,,1,10,2,,2,,2,,2,,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,10,1,10,1,10,2,,2,,1,1,2,2,,,1,1,2,2,,,1,1,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16429,05,05,1,2,060431002,1168.943,1,,1,1,0,2,,2,,1,11,2,,2,,2,,2,,1,11,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,11,2,,2,,2,,2,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16430,01,01,1,2,060443003,.3140727,1,,1,1,0,2,,1,43,1,43,2,,2,,2,,2,,1,43,1,43,1,43,2,,2,,2,,2,,2,,2,,2,,2,,1,43,2,,2,,2,,2,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16430,02,02,1,2,060443003,.0266411,1,,1,1,0,2,,1,39,1,39,2,,2,,2,,2,,1,39,1,39,1,39,2,,2,,2,,2,,2,,2,,2,,2,,1,39,2,,2,,2,,2,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16430,03,03,1,2,060443003,.0939781,1,,1,1,0,2,,1,40,2,,2,,2,,2,,2,,1,40,1,40,1,40,1,40,2,,2,,2,,2,,2,,2,,2,,1,40,1,10,1,10,2,,2,,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16430,04,04,1,2,060443003,.0744561,1,,1,1,0,2,,2,,1,40,2,,2,,2,,2,,1,40,1,40,1,40,1,40,2,,2,,2,,2,,2,,2,,2,,1,40,1,30,2,,2,,2,,2,1,2,1,2,2,2,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16431,01,01,1,2,060432003,111.42,1,,1,1,0,2,,1,30,1,30,2,,2,,2,,2,,1,30,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,30,1,20,1,20,2,,2,,2,1,2,2,,,2,1,2,2,,,1,1,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,, 
2024,06,CAJAMARCA,04,CHOTA,01,CHOTA,16431,02,02,1,2,060432003,228.3232,1,,1,1,0,2,,1,35,1,30,2,,2,,2,,2,,1,45,1,45,2,,2,,1,45,1,45,1,35,1,30,2,,2,,2,,1,45,1,15,1,8,2,,2,,2,1,2,2,,,2,1,2,2,,,1,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,, 
